case,strength,target_risk,source_reduction,target_safe,source_sufficient,certified_safe
overlap_abstain,0.0,0.0,0.0,True,False,False
overlap_abstain,0.1,0.0,0.1,True,False,False
overlap_abstain,0.2,0.0,0.2,True,False,False
overlap_abstain,0.3,0.0,0.3,True,False,False
overlap_abstain,0.4,0.1,0.4,False,False,False
overlap_abstain,0.5,0.2,0.5,False,False,False
overlap_abstain,0.6,0.3,0.6,False,False,False
overlap_abstain,0.7,0.4,0.7,False,True,False
overlap_abstain,0.8,0.5,0.8,False,True,False
overlap_abstain,0.9,0.6,0.9,False,True,False
overlap_abstain,1.0,0.7,1.0,False,True,False
nonoverlap_edit,0.0,0.0,0.0,True,False,False
nonoverlap_edit,0.1,0.0,0.175,True,False,False
nonoverlap_edit,0.2,0.0,0.35,True,False,False
nonoverlap_edit,0.3,0.0,0.525,True,False,False
nonoverlap_edit,0.4,0.0,0.7,True,True,True
nonoverlap_edit,0.5,0.0,0.875,True,True,True
nonoverlap_edit,0.6,0.0,1.0,True,True,True
nonoverlap_edit,0.7,0.0,1.0,True,True,True
nonoverlap_edit,0.8,0.0,1.0,True,True,True
nonoverlap_edit,0.9,0.0,1.0,True,True,True
nonoverlap_edit,1.0,0.1,1.0,False,True,False
