contract,nominal_source_advantage,shift_budget,statistical_margin,alphabet_size,required_labels_per_source_label_stratum,family_failure_probability,registered_strata
0.2,0.1,0.0,0.1,2,1016,0.05,4
0.2,0.1,0.0,0.1,4,1405,0.05,4
0.2,0.1,0.0,0.1,8,1984,0.05,4
0.2,0.1,0.0,0.1,16,3095,0.05,4
0.2,0.1,0.0,0.1,32,5313,0.05,4
0.2,0.1,0.0,0.1,64,9749,0.05,4
0.2,0.1,0.05,0.05,2,4061,0.05,4
0.2,0.1,0.05,0.05,4,5617,0.05,4
0.2,0.1,0.05,0.05,8,7936,0.05,4
0.2,0.1,0.05,0.05,16,12378,0.05,4
0.2,0.1,0.05,0.05,32,21251,0.05,4
0.2,0.1,0.05,0.05,64,38995,0.05,4
0.2,0.1,0.1,0.0,2,,0.05,4
0.2,0.1,0.1,0.0,4,,0.05,4
0.2,0.1,0.1,0.0,8,,0.05,4
0.2,0.1,0.1,0.0,16,,0.05,4
0.2,0.1,0.1,0.0,32,,0.05,4
0.2,0.1,0.1,0.0,64,,0.05,4
0.2,0.1,0.15,-0.04999999999999999,2,,0.05,4
0.2,0.1,0.15,-0.04999999999999999,4,,0.05,4
0.2,0.1,0.15,-0.04999999999999999,8,,0.05,4
0.2,0.1,0.15,-0.04999999999999999,16,,0.05,4
0.2,0.1,0.15,-0.04999999999999999,32,,0.05,4
0.2,0.1,0.15,-0.04999999999999999,64,,0.05,4
0.2,0.1,0.2,-0.1,2,,0.05,4
0.2,0.1,0.2,-0.1,4,,0.05,4
0.2,0.1,0.2,-0.1,8,,0.05,4
0.2,0.1,0.2,-0.1,16,,0.05,4
0.2,0.1,0.2,-0.1,32,,0.05,4
0.2,0.1,0.2,-0.1,64,,0.05,4
0.3,0.1,0.0,0.19999999999999998,2,254,0.05,4
0.3,0.1,0.0,0.19999999999999998,4,352,0.05,4
0.3,0.1,0.0,0.19999999999999998,8,496,0.05,4
0.3,0.1,0.0,0.19999999999999998,16,774,0.05,4
0.3,0.1,0.0,0.19999999999999998,32,1329,0.05,4
0.3,0.1,0.0,0.19999999999999998,64,2438,0.05,4
0.3,0.1,0.05,0.14999999999999997,2,452,0.05,4
0.3,0.1,0.05,0.14999999999999997,4,625,0.05,4
0.3,0.1,0.05,0.14999999999999997,8,882,0.05,4
0.3,0.1,0.05,0.14999999999999997,16,1376,0.05,4
0.3,0.1,0.05,0.14999999999999997,32,2362,0.05,4
0.3,0.1,0.05,0.14999999999999997,64,4333,0.05,4
0.3,0.1,0.1,0.09999999999999998,2,1016,0.05,4
0.3,0.1,0.1,0.09999999999999998,4,1405,0.05,4
0.3,0.1,0.1,0.09999999999999998,8,1984,0.05,4
0.3,0.1,0.1,0.09999999999999998,16,3095,0.05,4
0.3,0.1,0.1,0.09999999999999998,32,5313,0.05,4
0.3,0.1,0.1,0.09999999999999998,64,9749,0.05,4
0.3,0.1,0.15,0.04999999999999999,2,4061,0.05,4
0.3,0.1,0.15,0.04999999999999999,4,5617,0.05,4
0.3,0.1,0.15,0.04999999999999999,8,7936,0.05,4
0.3,0.1,0.15,0.04999999999999999,16,12378,0.05,4
0.3,0.1,0.15,0.04999999999999999,32,21251,0.05,4
0.3,0.1,0.15,0.04999999999999999,64,38995,0.05,4
0.3,0.1,0.2,-2.7755575615628914e-17,2,,0.05,4
0.3,0.1,0.2,-2.7755575615628914e-17,4,,0.05,4
0.3,0.1,0.2,-2.7755575615628914e-17,8,,0.05,4
0.3,0.1,0.2,-2.7755575615628914e-17,16,,0.05,4
0.3,0.1,0.2,-2.7755575615628914e-17,32,,0.05,4
0.3,0.1,0.2,-2.7755575615628914e-17,64,,0.05,4
0.4,0.1,0.0,0.30000000000000004,2,113,0.05,4
0.4,0.1,0.0,0.30000000000000004,4,157,0.05,4
0.4,0.1,0.0,0.30000000000000004,8,221,0.05,4
0.4,0.1,0.0,0.30000000000000004,16,344,0.05,4
0.4,0.1,0.0,0.30000000000000004,32,591,0.05,4
0.4,0.1,0.0,0.30000000000000004,64,1084,0.05,4
0.4,0.1,0.05,0.25000000000000006,2,163,0.05,4
0.4,0.1,0.05,0.25000000000000006,4,225,0.05,4
0.4,0.1,0.05,0.25000000000000006,8,318,0.05,4
0.4,0.1,0.05,0.25000000000000006,16,496,0.05,4
0.4,0.1,0.05,0.25000000000000006,32,851,0.05,4
0.4,0.1,0.05,0.25000000000000006,64,1560,0.05,4
0.4,0.1,0.1,0.20000000000000004,2,254,0.05,4
0.4,0.1,0.1,0.20000000000000004,4,352,0.05,4
0.4,0.1,0.1,0.20000000000000004,8,496,0.05,4
0.4,0.1,0.1,0.20000000000000004,16,774,0.05,4
0.4,0.1,0.1,0.20000000000000004,32,1329,0.05,4
0.4,0.1,0.1,0.20000000000000004,64,2438,0.05,4
0.4,0.1,0.15,0.15000000000000005,2,452,0.05,4
0.4,0.1,0.15,0.15000000000000005,4,625,0.05,4
0.4,0.1,0.15,0.15000000000000005,8,882,0.05,4
0.4,0.1,0.15,0.15000000000000005,16,1376,0.05,4
0.4,0.1,0.15,0.15000000000000005,32,2362,0.05,4
0.4,0.1,0.15,0.15000000000000005,64,4333,0.05,4
0.4,0.1,0.2,0.10000000000000003,2,1016,0.05,4
0.4,0.1,0.2,0.10000000000000003,4,1405,0.05,4
0.4,0.1,0.2,0.10000000000000003,8,1984,0.05,4
0.4,0.1,0.2,0.10000000000000003,16,3095,0.05,4
0.4,0.1,0.2,0.10000000000000003,32,5313,0.05,4
0.4,0.1,0.2,0.10000000000000003,64,9749,0.05,4
