config_id,dataset,seed,target_threshold,leakage_threshold,rule,deployed,selected_candidate,selected_method,external_contract_estimable,external_contract_satisfied,measured_external_contract_violation,procedurally_unsupported_deployment,support_mismatch_forced_abstention,confirmatory
Bios|seed=13|tau=0.4|lambda=0.7,Bios,13,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=13|tau=0.4|lambda=0.7,Bios,13,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=13|tau=0.4|lambda=0.7,Bios,13,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=13|tau=0.4|lambda=0.7,Bios,13,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=13|tau=0.4|lambda=0.7,Bios,13,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=14|tau=0.4|lambda=0.7,Bios,14,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=14|tau=0.4|lambda=0.7,Bios,14,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=14|tau=0.4|lambda=0.7,Bios,14,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=14|tau=0.4|lambda=0.7,Bios,14,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=14|tau=0.4|lambda=0.7,Bios,14,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=15|tau=0.4|lambda=0.7,Bios,15,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=15|tau=0.4|lambda=0.7,Bios,15,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=15|tau=0.4|lambda=0.7,Bios,15,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=15|tau=0.4|lambda=0.7,Bios,15,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=15|tau=0.4|lambda=0.7,Bios,15,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
