n,delta,replicates,false_acceptances,abstentions,empirical_false_acceptance,false_acceptance_cp_lower,false_acceptance_cp_upper,empirical_abstention,predicted_abstention,predicted_abstention_band_lower,predicted_abstention_band_upper,coverage_pass,overlay_pass
250,0.01,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
250,0.05,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
250,0.1,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
500,0.01,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
500,0.05,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
500,0.1,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
1000,0.01,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
1000,0.05,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,1.0,1.0,1.0,True,True
1000,0.1,1000,0,1000,0.0,0.0,0.006557655326296075,1.0,0.9999999999947184,1.0,1.0,True,True
2000,0.01,1000,0,997,0.0,0.0,0.006557655326296075,0.997,0.994955889573807,0.987,1.0,True,True
2000,0.05,1000,0,734,0.0,0.0,0.006557655326296075,0.734,0.7489846371887169,0.707,0.789,True,True
2000,0.1,1000,0,345,0.0,0.0,0.006557655326296075,0.345,0.355070493897844,0.31,0.401,True,True
5000,0.01,1000,0,0,0.0,0.0,0.006557655326296075,0.0,3.0266461205934422e-15,0.0,0.0,True,True
5000,0.05,1000,0,0,0.0,0.0,0.006557655326296075,0.0,6.24717866635641e-24,0.0,0.0,True,True
5000,0.1,1000,0,0,0.0,0.0,0.006557655326296075,0.0,3.4776485815224485e-29,0.0,0.0,True,True
10000,0.01,1000,0,0,0.0,0.0,0.006557655326296075,0.0,0.0,0.0,0.0,True,True
10000,0.05,1000,0,0,0.0,0.0,0.006557655326296075,0.0,0.0,0.0,0.0,True,True
10000,0.1,1000,0,0,0.0,0.0,0.006557655326296075,0.0,0.0,0.0,0.0,True,True
