method,method_label,seed,removed_count,removed_features,abstained,validation_target_balanced_accuracy,external_target_balanced_accuracy,external_target_accuracy,external_worst_source_accuracy,external_worst_target_source_accuracy,validation_source_leakage_balanced_accuracy,external_source_leakage_balanced_accuracy,benchmark,benchmark_key,output_prefix
baseline_no_edit,ERM/no edit,0,0,,False,0.788331,0.800935,0.814118,0.719365,0.623053,0.890726,0.893511,Waterbirds,waterbirds,waterbirds_official
source_ranked_erasure_k8,Source-ranked erasure k=8,0,8,56 297 128 510 184 426 101 443,False,0.789403,0.798039,0.813945,0.722126,0.607477,0.881551,0.890749,Waterbirds,waterbirds,waterbirds_official
target_preserving_erasure_k8,Target-preserving erasure k=8,0,8,56 510 297 128 184 101 481 443,False,0.790475,0.797709,0.812565,0.71902,0.610592,0.884053,0.889368,Waterbirds,waterbirds,waterbirds_official
random_erasure_k8,Random erasure k=8,0,8,443 506 436 136 308 486 442 291,False,0.787795,0.801157,0.814463,0.7204,0.621495,0.890723,0.893856,Waterbirds,waterbirds,waterbirds_official
FARO_selected,FARO abstain/no edit,0,0,,True,0.788331,0.800935,0.814118,0.719365,0.623053,0.890726,0.893511,Waterbirds,waterbirds,waterbirds_official
group_reweighted_erm,Group-reweighted ERM,0,0,,False,0.858096,0.867774,0.870038,0.837073,0.817295,0.890728,0.89282,Waterbirds,waterbirds,waterbirds_official
baseline_no_edit,ERM/no edit,1,0,,False,0.788331,0.800657,0.814118,0.7204,0.619938,0.893229,0.892648,Waterbirds,waterbirds,waterbirds_official
source_ranked_erasure_k8,Source-ranked erasure k=8,1,8,56 297 128 510 184 426 101 443,False,0.789939,0.798983,0.814981,0.724197,0.609034,0.883221,0.890231,Waterbirds,waterbirds,waterbirds_official
target_preserving_erasure_k8,Target-preserving erasure k=8,1,8,56 510 297 128 184 101 481 443,False,0.789131,0.799432,0.813945,0.720746,0.615265,0.882385,0.889886,Waterbirds,waterbirds,waterbirds_official
random_erasure_k8,Random erasure k=8,1,8,443 506 436 136 308 486 442 291,False,0.788331,0.801379,0.814808,0.721781,0.619938,0.894061,0.892993,Waterbirds,waterbirds,waterbirds_official
